Winner,Year,State,Democratic,Republican,Independent
rep,2000,Texas,37.98195809,59.29859947,2.153586416
rep,2000,Utah,26.34472218,66.83014295,4.651289516
dem,2000,Vermont,50.63470922,40.6971608,6.922679642
rep,2000,Virginia,44.43561054,52.47372919,2.168247825
dem,2000,Washington,50.13177324,44.55514727,4.138712484
rep,2000,West Virginia,45.59266437,51.91521993,1.647832822
dem,2000,Wisconsin,47.83281966,47.61316351,3.620016416
rep,2000,Wyoming,27.69898008,67.75650215,2.118149218
dem,2000,Washington DC,85.15508138,8.951727144,5.238392424
dem,1996,Nationwide,49.23376775,40.71513313,8.398180474
rep,1996,Alabama,43.1560877,50.12184321,6.005739242
rep,1996,Alaska,33.26711365,50.80125817,10.89851833
dem,1996,Arizona,46.51706595,44.2944165,7.980034249
dem,1996,Arkansas,53.73644915,36.80085766,7.903087546
dem,1996,California,51.09878912,38.2093529,6.96489959
rep,1996,Colorado,44.42643959,45.79639691,6.594872324
dem,1996,Connecticut,52.83158147,34.69080449,10.01878482
dem,1996,Delaware,51.77546443,36.54291659,10.59413318
dem,1996,Florida,48.01977603,42.31944152,9.123091885
rep,1996,Georgia,45.83803632,47.01216274,6.365049187
dem,1996,Hawaii,56.92880151,31.64028657,7.59691214
rep,1996,Idaho,33.64584244,52.18325914,12.71417212
dem,1996,Illinois,54.31527783,36.80995298,8.034715478
rep,1996,Indiana,41.54914081,47.13330855,10.50166632
dem,1996,Iowa,50.26096469,39.9201021,8.521281121
rep,1996,Kansas,36.0847994,54.29070092,8.6231965
dem,1996,Kentucky,45.84217849,44.88222146,8.669641134
dem,1996,Louisiana,52.00999575,39.94407943,6.911201435
dem,1996,Maine,51.62395589,30.76067384,14.18888029
dem,1996,Maryland,54.25477435,38.26949749,6.503113647
dem,1996,Massachusetts,61.47419513,28.08632716,8.886824665
dem,1996,Michigan,51.69482057,38.48459434,8.747301787
dem,1996,Minnesota,51.09995257,34.95676445,11.75313777
rep,1996,Mississippi,44.08110022,49.20675231,5.842321535
dem,1996,Missouri,47.53957828,41.24138986,10.06401568
rep,1996,Montana,41.23203548,44.11225234,13.56108245
rep,1996,Nebraska,34.95065802,53.65499731,10.52205812
dem,1996,Nevada,43.93349688,42.91471292,9.474044702
dem,1996,New Hampshire,49.32418491,39.37136275,9.693995092
dem,1996,New Jersey,53.72017815,35.86304342,8.522446304
dem,1996,New Mexico,49.18320224,41.85611987,5.80084665
dem,1996,New York,59.46960551,30.61197768,7.970989826
rep,1996,North Carolina,44.03553214,48.72941366,6.680122919
rep,1996,North Dakota,40.12784757,46.93875253,12.20482638
dem,1996,Ohio,47.37574745,41.01687223,10.65639063
rep,1996,Oklahoma,40.44913745,48.25629624,10.83836836
dem,1996,Oregon,47.15197132,39.05992335,8.798411915
dem,1996,Pennsylvania,49.17356802,39.97163412,9.564418863
dem,1996,Rhode Island,59.712927,26.82226276,11.20286766
rep,1996,South Carolina,43.85122714,49.88946955,5.601427457
rep,1996,South Dakota,43.0271195,46.48885513,9.650244267
dem,1996,Tennessee,47.99871179,45.59039758,5.591981437
rep,1996,Texas,43.83177194,48.75874165,6.745563332
rep,1996,Utah,33.29677643,54.3712789,9.984691172
dem,1996,Vermont,53.35443356,31.09007967,12.00391567
rep,1996,Virginia,45.14777116,47.10461872,6.61500545
dem,1996,Washington,49.84047205,37.30136651,8.918258064
dem,1996,West Virginia,51.5055958,36.75743449,11.25587037
dem,1996,Wisconsin,48.81095216,38.47741226,10.35161684
rep,1996,Wyoming,36.83586125,49.81211981,12.25498769
dem,1996,Washington DC,85.19001109,9.335795742,1.944261977
dem,1992,Nationwide,43.00609353,37.4469205,18.90688667
rep,1992,Alabama,40.8800635,47.6454036,10.84730401
rep,1992,Alaska,30.28711132,39.45749809,28.42525899
rep,1992,Arizona,36.51969125,38.47233972,23.78880785
dem,1992,Arkansas,53.20795285,35.48339931,10.42777964
dem,1992,California,46.00658784,32.61466938,20.62579542
dem,1992,Colorado,40.12802865,35.86905263,23.3249213
dem,1992,Connecticut,42.21397584,35.77934484,21.57793077
dem,1992,Delaware,43.50665263,35.31261325,20.43695101
rep,1992,Florida,39.00160169,40.89480038,19.81538057
dem,1992,Georgia,43.46868534,42.87785319,13.34076936
dem,1992,Hawaii,48.09275779,36.69704593,14.21594134
rep,1992,Idaho,28.41756163,42.03014879,27.04493697
dem,1992,Illinois,48.57967782,34.33746713,16.64334396
rep,1992,Indiana,36.79390564,42.90678013,19.77274531
dem,1992,Iowa,43.28583862,37.27213871,18.7115525
rep,1992,Kansas,33.73849414,38.8815246,26.99172857
dem,1992,Kentucky,44.55114207,41.34088017,13.66092839
dem,1992,Louisiana,45.58453914,40.97089581,11.8143012
dem,1992,Maine,38.7667973,30.39062603,30.43713089
dem,1992,Maryland,49.80091141,35.6210385,14.17669918
dem,1992,Massachusetts,47.54378286,29.02569032,22.79773318
dem,1992,Michigan,43.77368748,36.37564792,19.29534727
dem,1992,Minnesota,43.48465128,31.85083315,23.95734488
rep,1992,Mississippi,40.76806414,49.68389467,8.721390354
dem,1992,Missouri,44.06624951,33.91749754,21.6904412
dem,1992,Montana,37.62855842,35.12010151,26.11352351
rep,1992,Nebraska,29.39929635,46.57837391,23.62924618
dem,1992,Nevada,37.35755,34.72679225,26.18512476
dem,1992,New Hampshire,38.85899116,37.64027921,22.5556516
dem,1992,New Jersey,42.95395912,40.58103346,15.60682906
dem,1992,New Mexico,45.89884664,37.33846094,16.12232581
dem,1992,New York,49.72552756,33.87721103,15.74610668
rep,1992,North Carolina,42.6533683,43.44280874,13.70155254
rep,1992,North Dakota,32.18350517,44.21597167,23.06925905
dem,1992,Ohio,40.18130496,38.34663572,20.98043629
rep,1992,Oklahoma,34.0247375,42.64574833,23.00686369
dem,1992,Oregon,42.47885506,32.52721272,24.20898333
dem,1992,Pennsylvania,45.14616487,36.12721052,18.19962861
dem,1992,Rhode Island,47.03623991,29.02037144,23.16429904
rep,1992,South Carolina,39.87552878,48.02445184,11.54834777
rep,1992,South Dakota,37.14097081,40.65914458,21.79751022
dem,1992,Tennessee,47.08479309,42.43336403,10.08595619
rep,1992,Texas,37.07845833,40.56002111,22.01457649
rep,1992,Utah,24.6521492,43.36049479,27.33617447
dem,1992,Vermont,46.11375176,30.41825883,22.77900318
rep,1992,Virginia,40.59343447,44.96551913,13.62581659
dem,1992,Washington,43.39760426,31.95631558,23.6768157
dem,1992,West Virginia,48.41241402,35.39126912,15.91739785
dem,1992,Wisconsin,41.13074322,36.77649446,21.51143726
rep,1992,Wyoming,33.97383178,39.54990654,25.55165109
dem,1992,Washington DC,84.64090486,9.095143515,4.254038282
rep,1988,Nationwide,45.64618083,53.3727437,0
rep,1988,Alabama,39.86329831,59.16504894,0
rep,1988,Alaska,36.27096284,59.59093726,0
rep,1988,Arizona,38.74387412,59.95026765,0
rep,1988,Arkansas,42.19173217,56.3678362,0
rep,1988,California,47.55944737,51.12657307,0
rep,1988,Colorado,45.28240432,53.05888834,0
rep,1988,Connecticut,46.87451936,51.97756122,0
rep,1988,Delaware,43.4777563,55.87996366,0
rep,1988,Florida,38.50721693,60.87155909,0
rep,1988,Georgia,39.49842844,59.75287234,0
dem,1988,Hawaii,54.26944008,44.75104454,0
rep,1988,Idaho,36.01064142,62.07845113,0
rep,1988,Illinois,48.60455527,50.68826879,0
rep,1988,Indiana,39.68618767,59.84277566,0
dem,1988,Iowa,54.71192398,44.49647279,0
rep,1988,Kansas,42.55964489,55.79299608,0
rep,1988,Kentucky,43.88359469,55.52147912,0
rep,1988,Louisiana,44.0645571,54.2747153,0
rep,1988,Maine,43.88353888,55.3354293,0
rep,1988,Maryland,48.19903427,51.10758663,0
dem,1988,Massachusetts,53.22862878,45.37533163,0
rep,1988,Michigan,45.67207835,53.56769378,0
dem,1988,Minnesota,52.91283343,45.89572632,0
rep,1988,Mississippi,39.06714459,59.88983679,0
rep,1988,Missouri,47.85044916,51.83157305,0
rep,1988,Montana,46.19852656,52.07151725,0
rep,1988,Nebraska,39.19942268,60.15456571,0
rep,1988,Nevada,37.91788429,58.85730446,0
rep,1988,New Hampshire,36.33449864,62.49087176,0
rep,1988,New Jersey,42.59814238,56.24010946,0
rep,1988,New Mexico,46.90256999,51.8602996,0
dem,1988,New York,51.61957499,47.51806402,0
rep,1988,North Carolina,41.70631146,57.96829978,0
rep,1988,North Dakota,42.97200104,56.03123181,0
rep,1988,Ohio,44.14569592,55.00033116,0
rep,1988,Oklahoma,41.28165146,57.92879126,0
dem,1988,Oregon,51.2781124,46.61136695,0
rep,1988,Pennsylvania,48.3867405,50.70457962,0
dem,1988,Rhode Island,55.6381296,43.93282586,0
rep,1988,South Carolina,37.58119855,61.50481385,0
rep,1988,South Dakota,46.50612957,52.84976245,0
rep,1988,Tennessee,41.5458518,57.89048128,0
rep,1988,Texas,43.34936922,55.95355796,0
rep,1988,Utah,32.04643528,66.21896484,0
rep,1988,Vermont,47.5788323,51.0950015,0
rep,1988,Virginia,39.23140487,59.73519912,0
dem,1988,Washington,50.0476879,48.45642924,0
dem,1988,West Virginia,52.19811085,47.46055095,0
dem,1988,Wisconsin,51.41403025,47.79591058,0
rep,1988,Wyoming,38.01337857,60.53038499,0
dem,1988,Washington DC,82.6469719,14.3044531,0
rep,1984,Nationwide,40.55697873,58.77341808,0
rep,1984,Alabama,38.28078127,60.54249355,0
rep,1984,Alaska,29.86777775,66.65398232,0
rep,1984,Arizona,32.54264317,66.42148286,0
rep,1984,Arkansas,38.290785,60.46702533,0
rep,1984,California,41.26611725,57.51463138,0
rep,1984,Colorado,35.12279399,63.44218419,0
rep,1984,Connecticut,38.82998159,60.73195173,0
rep,1984,Delaware,39.93212136,59.78269409,0
rep,1984,Florida,34.66024697,65.31858104,0
rep,1984,Georgia,39.78552925,60.17263736,0
rep,1984,Hawaii,43.81591563,55.09965877,0
rep,1984,Idaho,26.39221295,72.36467029,0
rep,1984,Illinois,43.29655321,56.17459154,0
rep,1984,Indiana,37.68271379,61.67431459,0
rep,1984,Iowa,45.8870818,53.27211217,0
rep,1984,Kansas,32.59803658,66.27220788,0
rep,1984,Kentucky,39.37280959,60.0368781,0
rep,1984,Louisiana,38.17539263,60.77370692,0
rep,1984,Maine,38.78104074,60.83406852,0
rep,1984,Maryland,47.01639086,52.50505259,0
rep,1984,Massachusetts,48.43245803,51.21938164,0
rep,1984,Michigan,40.23607594,59.22602717,0
dem,1984,Minnesota,49.71884656,49.53841519,0
rep,1984,Mississippi,37.45958272,61.84662282,0
rep,1984,Missouri,39.97524933,60.02475067,0
rep,1984,Montana,38.17658185,60.47448208,0
rep,1984,Nebraska,28.80982686,70.55069086,0
rep,1984,Nevada,31.97263724,65.84992343,0
rep,1984,New Hampshire,30.95353178,68.6587617,0
rep,1984,New Jersey,39.19754794,60.09051973,0
rep,1984,New Mexico,39.22643233,59.70429846,0
rep,1984,New York,45.83070484,53.8396547,0
rep,1984,North Carolina,37.89196368,61.89689895,0
rep,1984,North Dakota,33.79896495,64.83974224,0
rep,1984,Ohio,40.14056587,58.90027287,0
rep,1984,Oklahoma,30.66714662,68.61085184,0
rep,1984,Oregon,43.73968123,55.90582189,0
rep,1984,Pennsylvania,45.98917667,53.34106792,0
rep,1984,Rhode Island,48.01701373,51.66483147,0
rep,1984,South Carolina,35.56590332,63.55328639,0
rep,1984,South Dakota,36.52879978,63.0033945,0
rep,1984,Tennessee,41.57224942,57.83972248,0
rep,1984,Texas,36.11394829,63.610613,0
rep,1984,Utah,24.67521948,74.50179145,0
rep,1984,Vermont,40.81241127,57.9230989,0
rep,1984,Virginia,37.09293848,62.28716107,0
rep,1984,Washington,42.85512578,55.82379201,0
rep,1984,West Virginia,44.59783457,55.11211811,0
rep,1984,Wisconsin,45.01988232,54.19490637,0
rep,1984,Wyoming,28.2428771,70.50982177,0
dem,1984,Washington DC,85.38487751,13.7296013,0
